Date,State,Region,Confirmed,Deaths,Recovered
29-03-20,,Venezuela,119,2,39
29-03-20,,Vietnam,188,0,25
29-03-20,,Zambia,29,0,0
29-03-20,,Zimbabwe,7,1,0
29-03-20,,Dominica,11,0,0
29-03-20,,Grenada,9,0,0
29-03-20,,Mozambique,8,0,0
29-03-20,,Syria,9,1,0
29-03-20,,Timor-Leste,1,0,0
29-03-20,,Belize,2,0,0
29-03-20,,Laos,8,0,0
29-03-20,,Libya,8,0,0
29-03-20,,West Bank and Gaza,109,1,18
29-03-20,,Guinea-Bissau,2,0,0
29-03-20,,Mali,18,1,0
29-03-20,,Saint Kitts and Nevis,2,0,0
29-03-20,Northwest Territories,Canada,1,0,0
29-03-20,Yukon,Canada,4,0,0
29-03-20,,Kosovo,94,1,1
29-03-20,,Burma,10,0,0
29-03-20,Anguilla,United Kingdom,2,0,0
29-03-20,British Virgin Islands,United Kingdom,2,0,0
29-03-20,Turks and Caicos Islands,United Kingdom,4,0,0
29-03-20,,Botswana,0,0,0
29-03-20,,Burundi,0,0,0
29-03-20,,Sierra Leone,0,0,0
29-03-20,,Malawi,0,0,0
29-03-20,Falkland Islands (Malvinas),United Kingdom,0,0,0
29-03-20,Saint Pierre and Miquelon,France,0,0,0
29-03-20,,South Sudan,0,0,0
29-03-20,,Western Sahara,0,0,0
29-03-20,,Sao Tome and Principe,0,0,0
29-03-20,,Yemen,0,0,0
29-03-20,,Comoros,0,0,0
29-03-20,,Tajikistan,0,0,0
29-03-20,,Lesotho,0,0,0
30-03-20,,Afghanistan,170,4,2
30-03-20,,Albania,223,11,44
30-03-20,,Algeria,584,35,37
30-03-20,,Andorra,370,8,10
30-03-20,,Angola,7,2,0
30-03-20,,Antigua and Barbuda,7,0,0
30-03-20,,Argentina,820,23,228
30-03-20,,Armenia,482,3,30
30-03-20,Australian Capital Territory,Australia,78,1,2
30-03-20,New South Wales,Australia,2032,8,4
30-03-20,Northern Territory,Australia,15,0,0
30-03-20,Queensland,Australia,689,2,8
30-03-20,South Australia,Australia,305,0,6
30-03-20,Tasmania,Australia,66,0,5
30-03-20,Victoria,Australia,821,4,191
30-03-20,Western Australia,Australia,355,2,41
30-03-20,,Austria,9618,108,636
30-03-20,,Azerbaijan,273,4,26
30-03-20,,Bahamas,14,0,1
30-03-20,,Bahrain,515,4,279
30-03-20,,Bangladesh,49,5,19
30-03-20,,Barbados,33,0,0
30-03-20,,Belarus,152,0,32
30-03-20,,Belgium,11899,513,1527
30-03-20,,Benin,6,0,0
30-03-20,,Bhutan,4,0,0
30-03-20,,Bolivia,97,4,0
30-03-20,,Bosnia and Herzegovina,368,10,17
30-03-20,,Brazil,4579,159,120
30-03-20,,Brunei,127,1,38
30-03-20,,Bulgaria,359,8,17
30-03-20,,Burkina Faso,246,12,31
30-03-20,,Cabo Verde,6,1,0
30-03-20,,Cambodia,107,0,21
30-03-20,,Cameroon,139,6,5
30-03-20,Alberta,Canada,661,3,0
30-03-20,British Columbia,Canada,970,19,0
30-03-20,Manitoba,Canada,96,1,0
30-03-20,New Brunswick,Canada,68,0,0
30-03-20,Newfoundland and Labrador,Canada,148,1,0
30-03-20,Nova Scotia,Canada,127,0,0
30-03-20,Ontario,Canada,1706,31,0
30-03-20,Prince Edward Island,Canada,18,0,0
30-03-20,Quebec,Canada,3430,22,0
30-03-20,Saskatchewan,Canada,156,2,0
30-03-20,,Central African Republic,3,0,0
30-03-20,,Chad,5,0,0
30-03-20,,Chile,2555,8,156
30-03-20,Anhui,China,990,6,984
30-03-20,Beijing,China,577,8,415
30-03-20,Chongqing,China,579,6,570
30-03-20,Fujian,China,340,1,295
30-03-20,Gansu,China,138,2,125
30-03-20,Guangdong,China,1484,8,1351
30-03-20,Guangxi,China,254,2,250
30-03-20,Guizhou,China,146,2,144
30-03-20,Hainan,China,168,6,168
30-03-20,Hebei,China,321,6,0
30-03-20,Heilongjiang,China,484,13,469
30-03-20,Henan,China,1276,22,0
30-03-20,Hong Kong,China,682,4,123
30-03-20,Hubei,China,67801,3186,62889
30-03-20,Hunan,China,1018,4,1014
30-03-20,Inner Mongolia,China,97,1,74
30-03-20,Jiangsu,China,645,0,631
30-03-20,Jiangxi,China,937,1,935
30-03-20,Jilin,China,98,1,92
30-03-20,Liaoning,China,136,2,124
30-03-20,Macau,China,38,0,10
30-03-20,Ningxia,China,75,0,75
30-03-20,Qinghai,China,18,0,18
30-03-20,Shaanxi,China,253,3,242
30-03-20,Shandong,China,773,7,753
30-03-20,Shanghai,China,498,5,338
30-03-20,Shanxi,China,136,0,133
30-03-20,Sichuan,China,550,3,536
30-03-20,Tianjin,China,174,3,133
30-03-20,Tibet,China,1,0,1
30-03-20,Xinjiang,China,76,3,73
30-03-20,Yunnan,China,180,2,172
30-03-20,Zhejiang,China,1255,1,1225
30-03-20,,Colombia,798,12,15
30-03-20,,Congo (Brazzaville),19,0,0
30-03-20,,Congo (Kinshasa),81,8,2
30-03-20,,Costa Rica,330,2,4
30-03-20,,Cote d'Ivoire,168,1,6
30-03-20,,Croatia,790,6,67
30-03-20,,Cuba,170,4,4
30-03-20,,Cyprus,230,7,22
30-03-20,,Czechia,3001,23,25
30-03-20,Faroe Islands,Denmark,168,0,70
30-03-20,Greenland,Greenland,10,0,2
30-03-20,,Denmark,2577,77,1
30-03-20,,Djibouti,18,0,0
30-03-20,,Dominican Republic,901,42,4
30-03-20,,Ecuador,1962,60,3
30-03-20,,Egypt,656,41,150
30-03-20,,El Salvador,30,0,0
30-03-20,,Equatorial Guinea,12,0,0
30-03-20,,Eritrea,12,0,0
30-03-20,,Estonia,715,3,20
30-03-20,,Eswatini,9,0,0
30-03-20,,Ethiopia,23,0,4
30-03-20,,Fiji,5,0,0
30-03-20,,Finland,1352,13,10
30-03-20,French Guiana,France,43,0,6
30-03-20,French Polynesia,France,36,0,0
30-03-20,Guadeloupe,France,106,4,17
30-03-20,Mayotte,France,82,0,10
30-03-20,New Caledonia,France,15,0,0
30-03-20,Reunion,France,224,0,1
30-03-20,Saint Barthelemy,France,6,0,1
30-03-20,St Martin,France,15,1,2
30-03-20,Martinique,France,93,1,0
30-03-20,,France,44550,3024,7927
30-03-20,,Gabon,7,1,0
30-03-20,,Gambia,4,1,0
30-03-20,,Georgia,103,0,20
30-03-20,,Germany,66885,645,13500
30-03-20,,Ghana,152,5,2
30-03-20,,Greece,1212,43,52
30-03-20,,Guatemala,36,1,10
30-03-20,,Guinea,22,0,0
30-03-20,,Guyana,8,1,0
30-03-20,,Haiti,15,0,1
30-03-20,,Holy See,6,0,0
30-03-20,,Honduras,139,7,3
30-03-20,,Hungary,447,15,34
30-03-20,,Iceland,1086,2,157
30-03-20,,India,1251,32,102
30-03-20,,Indonesia,1414,122,75
30-03-20,,Iran,41495,2757,13911
30-03-20,,Iraq,630,46,152
30-03-20,,Ireland,2910,54,5
30-03-20,,Israel,4695,16,161
30-03-20,,Italy,101739,11591,14620
30-03-20,,Jamaica,36,1,2
30-03-20,,Japan,2001,65,424
30-03-20,,Jordan,268,5,26
30-03-20,,Kazakhstan,302,1,21
30-03-20,,Kenya,50,1,1
